Pais;Region;Score;GDP;Social Support;Healthy Life;Freedom;Generosity;Corruption;Tipo;Indicador
China;East Asia;5.339;9.673;0.811;69.593;0.904;-0.146;0.755;indiferente;13.598333333333331
Ivory Coast;Sub-Saharan Africa;5.306;8.551;0.644;50.114;0.741;-0.016;0.794;indiferente;10.138
Armenia;Commonwealth of Independent States;5.283;9.487;0.799;67.055;0.825;-0.168;0.629;indiferente;13.104500000000002
Nepal;South Asia;5.269;8.12;0.774;64.233;0.782;0.152;0.727;indiferente;12.464666666666668
Bulgaria;Central and Eastern Europe;5.266;10.016;0.931;67.0;0.788;-0.096;0.932;indiferente;13.261833333333334
Maldives;South Asia;5.198;9.826;0.913;70.6;0.854;0.024;0.825;indiferente;13.840333333333334
Azerbaijan;Commonwealth of Independent States;5.171;9.569;0.836;65.656;0.814;-0.223;0.506;indiferente;12.859666666666667
Cameroon;Sub-Saharan Africa;5.142;8.189;0.71;53.515;0.731;0.026;0.848;indiferente;10.669833333333335
Senegal;Sub-Saharan Africa;5.132;8.118;0.71;59.802;0.695;-0.046;0.801;indiferente;11.679999999999998
Albania;Central and Eastern Europe;5.117;9.52;0.697;68.999;0.785;-0.03;0.901;indiferente;13.478666666666664
North Macedonia;Central and Eastern Europe;5.101;9.693;0.805;65.474;0.751;0.038;0.905;indiferente;12.944333333333335
Ghana;Sub-Saharan Africa;5.088;8.58;0.727;57.586;0.807;0.123;0.848;indiferente;11.445166666666667
Niger;Sub-Saharan Africa;5.074;7.098;0.641;53.78;0.806;0.018;0.693;indiferente;10.505999999999998
Turkmenistan;Commonwealth of Independent States;5.066;9.629;0.983;62.409;0.877;0.273;0.888;indiferente;12.509833333333333
Gambia;Sub-Saharan Africa;5.051;7.686;0.69;55.16;0.697;0.424;0.746;indiferente;10.9005
Benin;Sub-Saharan Africa;5.045;8.087;0.489;54.713;0.757;-0.034;0.661;indiferente;10.778833333333333
Laos;Southeast Asia;5.03;8.947;0.728;58.968;0.91;0.123;0.658;indiferente;11.722333333333333
Bangladesh;South Asia;5.025;8.454;0.693;64.8;0.877;-0.041;0.682;indiferente;12.5775
Guinea;Sub-Saharan Africa;4.984;7.838;0.639;55.008;0.697;0.095;0.766;indiferente;10.8405
South Africa;Sub-Saharan Africa;4.956;9.403;0.86;56.904;0.749;-0.067;0.86;indiferente;11.451500000000001
Turkey;Middle East and North Africa;4.948;10.24;0.822;67.199;0.576;-0.139;0.776;indiferente;13.245666666666665
Pakistan;South Asia;4.934;8.458;0.651;58.709;0.726;0.098;0.787;indiferente;11.5715
Morocco;Middle East and North Africa;4.918;8.903;0.56;66.208;0.774;-0.236;0.801;indiferente;12.834999999999999
Venezuela;Latin America and Caribbean;4.892;9.073;0.861;66.7;0.615;-0.169;0.827;indiferente;12.984499999999999
Georgia;Commonwealth of Independent States;4.891;9.585;0.671;64.3;0.783;-0.238;0.655;indiferente;12.626
Algeria;Middle East and North Africa;4.887;9.342;0.802;66.005;0.48;-0.067;0.752;indiferente;12.885666666666667
Ukraine;Commonwealth of Independent States;4.875;9.436;0.888;64.902;0.724;-0.011;0.924;indiferente;12.810500000000003
Iraq;Middle East and North Africa;4.854;9.24;0.746;60.583;0.63;-0.053;0.875;indiferente;12.0035
Gabon;Sub-Saharan Africa;4.852;9.603;0.776;59.962;0.731;-0.2;0.84;indiferente;11.952
Burkina Faso;Sub-Saharan Africa;4.834;7.678;0.672;54.151;0.695;-0.009;0.748;indiferente;10.655833333333334
Cambodia;Southeast Asia;4.83;8.36;0.765;62.0;0.959;0.034;0.843;indiferente;12.160166666666669
Mozambique;Sub-Saharan Africa;4.794;7.158;0.744;54.706;0.882;0.061;0.684;indiferente;10.705833333333333
Nigeria;Sub-Saharan Africa;4.759;8.533;0.74;50.102;0.737;0.037;0.878;indiferente;10.171166666666666
Mali;Sub-Saharan Africa;4.723;7.744;0.724;51.969;0.697;-0.036;0.827;indiferente;10.320833333333333
Iran;Middle East and North Africa;4.721;9.584;0.71;66.3;0.608;0.218;0.714;indiferente;13.022333333333334
Uganda;Sub-Saharan Africa;4.636;7.677;0.781;56.101;0.709;0.122;0.855;indiferente;11.040833333333333
Liberia;Sub-Saharan Africa;4.625;7.288;0.72;56.498;0.735;0.05;0.85;indiferente;11.023499999999999
Kenya;Sub-Saharan Africa;4.607;8.361;0.688;60.704;0.779;0.287;0.825;indiferente;11.940666666666667
Tunisia;Middle East and North Africa;4.596;9.266;0.691;67.201;0.656;-0.201;0.87;indiferente;13.0805
Lebanon;Middle East and North Africa;4.584;9.626;0.848;67.355;0.525;-0.073;0.898;indiferente;13.196500000000002
Namibia;Sub-Saharan Africa;4.574;9.161;0.818;56.799;0.719;-0.149;0.847;indiferente;11.36583333333333
Palestinian Territories;Middle East and North Africa;4.517;8.485;0.826;62.25;0.653;-0.163;0.821;indiferente;12.145333333333335
Myanmar;Southeast Asia;4.426;8.541;0.779;59.302;0.876;0.509;0.66;indiferente;11.777833333333334
Jordan;Middle East and North Africa;4.395;9.182;0.767;67.0;0.755;-0.167;0.705;indiferente;13.040333333333331
Chad;Sub-Saharan Africa;4.355;7.364;0.619;48.478;0.579;0.041;0.807;indiferente;9.648
Sri Lanka;South Asia;4.325;9.47;0.827;67.299;0.841;0.079;0.863;indiferente;13.229833333333332
Swaziland;Sub-Saharan Africa;4.308;9.065;0.77;50.833;0.647;-0.185;0.708;indiferente;10.306333333333333
Comoros;Sub-Saharan Africa;4.289;8.031;0.626;57.349;0.548;0.082;0.781;indiferente;11.236166666666668
Egypt;Middle East and North Africa;4.283;9.367;0.75;61.998;0.749;-0.182;0.795;indiferente;12.246166666666666
Ethiopia;Sub-Saharan Africa;4.275;7.694;0.764;59.0;0.752;0.082;0.761;indiferente;11.50883333333333
Mauritania;Sub-Saharan Africa;4.227;8.542;0.795;57.161;0.561;-0.106;0.731;indiferente;11.280666666666669
Madagascar;Sub-Saharan Africa;4.208;7.396;0.686;59.305;0.552;-0.005;0.803;indiferente;11.456166666666668
Togo;Sub-Saharan Africa;4.107;7.362;0.569;54.914;0.619;0.032;0.772;indiferente;10.711333333333334
Zambia;Sub-Saharan Africa;4.073;8.145;0.708;55.809;0.782;0.061;0.823;indiferente;11.054666666666664
Sierra Leone;Sub-Saharan Africa;3.849;7.434;0.63;51.651;0.717;0.084;0.866;infeliz;10.230333333333334
India;South Asia;3.819;8.755;0.603;60.633;0.893;0.089;0.774;infeliz;11.957833333333333
Burundi;Sub-Saharan Africa;3.775;6.635;0.49;53.4;0.626;-0.024;0.607;infeliz;10.289
Yemen;Middle East and North Africa;3.658;7.578;0.832;57.122;0.602;-0.147;0.8;infeliz;11.131166666666665
Tanzania;Sub-Saharan Africa;3.623;7.876;0.702;57.999;0.833;0.183;0.577;infeliz;11.361666666666666
Haiti;Latin America and Caribbean;3.615;7.477;0.54;55.7;0.593;0.422;0.721;infeliz;10.908833333333334
Malawi;Sub-Saharan Africa;3.6;6.958;0.537;57.948;0.78;0.038;0.729;infeliz;11.165
Lesotho;Sub-Saharan Africa;3.512;7.926;0.787;48.7;0.715;-0.131;0.915;infeliz;9.818666666666667
Botswana;Sub-Saharan Africa;3.467;9.782;0.784;59.269;0.824;-0.246;0.801;infeliz;11.869
Rwanda;Sub-Saharan Africa;3.415;7.676;0.552;61.4;0.897;0.061;0.167;infeliz;11.792166666666668
Zimbabwe;Sub-Saharan Africa;3.145;7.943;0.75;56.201;0.677;-0.047;0.821;infeliz;11.057500000000003
Afghanistan;South Asia;2.523;7.695;0.463;52.493;0.382;-0.102;0.924;infeliz;10.309166666666668
